,Game,BanqiBoard,Move,Player,Square,Coordinate,Piece,PieceAttributes,BackendController,TeamColor
US-2,X,,,,,,,,,
US-3,X,,,,,,,,X,
US-4,X,,,,,,,,,
US-5,X,,,,,,,,X,
US-6,X,,,,,,,,X,
US-7,,,,,,,,,X,
US-8,,,,,,,,,X,
US-9,,,X,,X,X,X,,,
US-10,,,,,,,,,,
US-11,,,,,,,X,X,,
US-12,,,,,,,X,X,,
US-13,,,,,,,X,X,,
US-14,X,,,,,,,,,
US-15,X,,,,,,,,,
US-16,X,,,,,,,,,
US-17,X,X,,,,,,,,
US-18,X,,,,,,,,X,
US-19,,,,,,,,,,
US-20,,X,,,X,X,X,X,,
US-21,,X,X,,,,X,,X,
US-22(epic),X,X,,,,,,,,
US-23,X,,X,,,,,,,
US-24,,,,,,,,X,,
US-25,,,,,,,X,X,,X
US-26,,,X,,,,X,,,
US-27(epic),,,X,,,,X,,,
US-28(epic),,,X,,,,X,,,
US-29,X,,X,,,,X,,,
US-30,X,,,,,,,X,,
US-31,X,,X,,,,X,,,
US-32,X,,X,,,,X,,,
US-33,X,,,X,,,,,,
US-34,X,,,,,,,,,
US-35,,,,,,,,,X,
US-36,,,,,,,,,X,
US-37,X,,,,,,,,X,
US-38,X,,,,,,,,X,
US-39,,,,,,,,,X,
US-40,X,,,,,,,,X,
US-41,X,X,X,X,X,X,X,X,X,X
